scenario,time,target,observed,initial,optimized
sif,2021-06-01T00:00:00,F740,7.106399999999999,3.948,7.106399964481246
sif,2021-06-08T00:00:00,F740,7.41862003993409,4.119448679595678,7.415007586211002
sif,2021-06-15T00:00:00,F740,7.585393327911492,4.21036465081946,7.578656333595873
sif,2021-06-22T00:00:00,F740,7.605763657101328,4.220451124548766,7.596811986217879
sif,2021-06-29T00:00:00,F740,7.502224998733764,4.162370920539341,7.4922676195234414
sif,2021-07-06T00:00:00,F740,7.31739319207943,4.059874964248723,7.307774899122449
sif,2021-07-13T00:00:00,F740,7.106156151728982,3.9434310996978783,7.098175943978531
sif,2021-07-20T00:00:00,F740,6.924769356510774,3.8441694638233335,6.919505000297373
sif,2021-07-27T00:00:00,F740,6.81922891959566,3.7874396802319414,6.817391390343245
sif,2021-08-03T00:00:00,F740,6.815553929239328,3.7874396802319414,6.817391390343245
sif,2021-08-10T00:00:00,F740,6.914240713253227,3.8441694638233335,6.919505000297373
sif,2021-08-17T00:00:00,F740,7.090195807183377,3.943431099697878,7.09817594397853
sif,2021-08-24T00:00:00,F740,7.298156679215974,4.059874964248723,7.307774899122449
sif,2021-08-31T00:00:00,F740,7.482310315207863,4.162370920539342,7.4922676195234414
sif,2021-09-07T00:00:00,F740,7.587860391274226,4.220451124548766,7.596811986217879
sif,2021-09-14T00:00:00,F740,7.571919415038562,4.21036465081946,7.578656333595872
sif,2021-09-21T00:00:00,F740,7.411395206610346,4.119448679595678,7.415007586211002
sif,2021-09-28T00:00:00,F740,7.106399999999999,3.948,7.106399964481246
thermal,2021-06-01T00:00:00,Loutt,406.61859999999996,405.0,406.6412198042935
thermal,2021-06-08T00:00:00,Loutt,407.9069709057899,406.27921388797216,407.91833384764857
thermal,2021-06-15T00:00:00,Loutt,409.1049638003516,407.4732792169989,409.1057878416349
thermal,2021-06-22T00:00:00,Loutt,410.1320253968296,408.50271518796643,410.1243327678381
thermal,2021-06-29T00:00:00,Loutt,410.9190509621886,409.29899925724186,410.90582360370655
thermal,2021-07-06T00:00:00,Loutt,411.4130558523402,409.8091282158641,411.39776754571443
thermal,2021-07-13T00:00:00,Loutt,411.5807440988394,409.99914625229025,411.5668346908631
thermal,2021-07-20T00:00:00,Loutt,411.41073226967353,409.85640515958056,411.4010969293018
thermal,2021-07-27T00:00:00,Loutt,410.91428126933374,409.3904062404185,410.9108453273042
thermal,2021-08-03T00:00:00,Loutt,410.12449284116576,408.6321678700811,410.1279307957877
thermal,2021-08-10T00:00:00,Loutt,409.09403370429385,407.6321608143868,409.1036710572579
thermal,2021-08-17T00:00:00,Loutt,407.89155088789744,406.4569487344466,407.905462308466
thermal,2021-08-24T00:00:00,Loutt,406.5970298604696,405.18475749694574,406.6123201796877
thermal,2021-08-31T00:00:00,Loutt,405.2964165058549,403.90026821080164,405.3096458769292
thermal,2021-09-07T00:00:00,Loutt,404.0758703734352,402.6889805822984,404.083565015019
thermal,2021-09-14T00:00:00,Loutt,403.01603719841455,401.6315217817672,403.0152151697235
thermal,2021-09-21T00:00:00,Loutt,402.1867226239928,400.79827964181055,402.17536169472635
thermal,2021-09-28T00:00:00,Loutt,401.64231741852427,400.24471741852426,401.61969962682304
thermal,2021-06-01T00:00:00,Eoutt,397.2720824165596,395.34999999999997,397.2735084025346
thermal,2021-06-08T00:00:00,Eoutt,398.5185398829846,396.590837471333,398.5131034586318
thermal,2021-06-15T00:00:00,Eoutt,399.67736030290195,397.7490808404889,399.6674900919397
thermal,2021-06-22T00:00:00,Eoutt,400.6710664639182,398.7476337323274,400.6597062397079
thermal,2021-06-29T00:00:00,Eoutt,401.4333427212239,399.5200292795246,401.42350380070764
thermal,2021-07-06T00:00:00,Eoutt,401.91345650320955,400.01485436938816,401.90776543223063
thermal,2021-07-13T00:00:00,Eoutt,402.07961252772964,400.1991718647215,402.0799166988607
thermal,2021-07-20T00:00:00,Eoutt,401.92102030537006,400.0607130047931,401.92810612206915
thermal,2021-07-27T00:00:00,Eoutt,401.4485448663148,399.6086940532059,401.4620076180392
thermal,2021-08-03T00:00:00,Eoutt,400.69390761211724,398.87320283397867,400.71219144893763
thermal,2021-08-10T00:00:00,Eoutt,399.7075019445096,397.9031959899552,399.7281050524714
thermal,2021-08-17T00:00:00,Eoutt,398.55498018231236,396.7632402724132,398.5747976180663
thermal,2021-08-24T00:00:00,Eoutt,397.3128481745935,395.52921477203734,397.32860588898717
thermal,2021-08-31T00:00:00,Eoutt,396.06336688978746,394.28326016447755,396.0720878230868
thermal,2021-09-07T00:00:00,Eoutt,394.88910235169783,393.10831116482944,394.88854083724124
thermal,2021-09-14T00:00:00,Eoutt,393.8674843501296,392.0825761283142,393.8564690566556
thermal,2021-09-21T00:00:00,Eoutt,393.0657296989846,391.27433125255624,393.04436744504966
thermal,2021-09-28T00:00:00,Eoutt,392.53645831252817,390.7373758959685,392.5061696732261
energy_balance,2021-06-01T00:00:00,F740,6.57888,3.885,6.578879908375797
energy_balance,2021-06-08T00:00:00,F740,6.928605193643697,4.088961964776393,6.924270197214992
energy_balance,2021-06-15T00:00:00,F740,7.2659830828224266,4.28597824946774,7.257898634017757
energy_balance,2021-06-22T00:00:00,F740,7.579145967413568,4.4693397007938644,7.568403902511984
energy_balance,2021-06-29T00:00:00,F740,7.8571610375651,4.632802164447678,7.845212118189123
energy_balance,2021-07-06T00:00:00,F740,8.090438929492194,4.7707991222810655,8.078896909259148
energy_balance,2021-07-13T00:00:00,F740,8.271076742221647,4.8786312534041185,8.261500420436189
energy_balance,2021-07-20T00:00:00,F740,8.393121610913612,4.952626463921829,8.386804308155881
energy_balance,2021-07-27T00:00:00,F740,8.45274661071205,4.990264935687487,8.450541498807377
energy_balance,2021-08-03T00:00:00,F740,8.448336622284453,4.990264935687487,8.450541498807377
energy_balance,2021-08-10T00:00:00,F740,8.380487239004557,4.952626463921829,8.386804308155881
energy_balance,2021-08-17T00:00:00,F740,8.25192432876692,4.8786312534041185,8.261500420436189
energy_balance,2021-08-24T00:00:00,F740,8.067355114056046,4.7707991222810655,8.078896909259148
energy_balance,2021-08-31T00:00:00,F740,7.833263417334021,4.6328021644476785,7.845212118189123
energy_balance,2021-09-07T00:00:00,F740,7.557662048421047,4.4693397007938644,7.568403902511984
energy_balance,2021-09-14T00:00:00,F740,7.249814387374911,4.28597824946774,7.257898634017758
energy_balance,2021-09-21T00:00:00,F740,6.919935393655206,4.088961964776393,6.924270197214992
energy_balance,2021-09-28T00:00:00,F740,6.57888,3.885,6.578879908375797
energy_balance,2021-06-01T00:00:00,Loutt,406.0446946313073,405.0,406.0467220679099
energy_balance,2021-06-08T00:00:00,Loutt,407.3414609762021,406.27921388797216,407.3363279143779
energy_balance,2021-06-15T00:00:00,Loutt,408.54689403707056,407.4732792169989,408.53709972312777
energy_balance,2021-06-22T00:00:00,Loutt,409.58121544963507,408.50271518796643,409.5697460388697
energy_balance,2021-06-29T00:00:00,Loutt,410.3761598511325,409.29899925724186,410.3660527184772
energy_balance,2021-07-06T00:00:00,Loutt,410.8795295173872,409.8091282158641,410.8734335079686
energy_balance,2021-07-13T00:00:00,Loutt,411.05865189036365,409.99914625229025,411.05844390635195
energy_balance,2021-07-20T00:00:00,Loutt,410.90251338069504,409.85640515958056,410.90902396074233
energy_balance,2021-07-27T00:00:00,Loutt,410.4224344729102,409.3904062404185,410.43532013909567
energy_balance,2021-08-03T00:00:00,Loutt,409.6512507830197,408.6321678700811,409.66903092284923
energy_balance,2021-08-10T00:00:00,Loutt,408.6410653385909,407.6321608143868,408.6613189646703
energy_balance,2021-08-17T00:00:00,Loutt,407.45973210878395,406.4569487344466,407.4794280318302
energy_balance,2021-08-24T00:00:00,Loutt,406.18631344193955,405.18475749694574,406.2022291562866
energy_balance,2021-08-31T00:00:00,Loutt,404.9058193159583,403.90026821080164,404.9149917010116
energy_balance,2021-09-07T00:00:00,Loutt,403.70358024222526,402.6889805822984,403.7037266828404
energy_balance,2021-09-14T00:00:00,Loutt,402.6596258888383,401.6315217817672,402.64947822708365
energy_balance,2021-09-21T00:00:00,Loutt,401.84343722481145,400.79827964181055,401.82294256685014
energy_balance,2021-09-28T00:00:00,Loutt,401.3094120498316,400.24471741852426,401.27977230205965
energy_balance,2021-06-01T00:00:00,LE,86.22559508646658,79.53999999999999,86.25185408200763
energy_balance,2021-06-08T00:00:00,LE,88.50100576456988,81.67884438738487,88.49017398848089
energy_balance,2021-06-15T00:00:00,LE,90.68693903250536,83.74485299441845,90.65227059510804
energy_balance,2021-06-22T00:00:00,LE,92.70975040654753,85.66767037589241,92.66451629509945
energy_balance,2021-06-29T00:00:00,LE,94.5024687640898,87.38181729204592,94.45838647456459
energy_balance,2021-07-06T00:00:00,LE,96.00681856412879,88.82892052554199,95.97279303605195
energy_balance,2021-07-13T00:00:00,LE,97.17482979699298,89.95970071137292,97.15616468044053
energy_balance,2021-07-20T00:00:00,LE,97.97003142399224,90.73565048653161,97.96820310567853
energy_balance,2021-07-27T00:00:00,LE,98.36824710667909,91.1303458120742,98.3812553171272
energy_balance,2021-08-03T00:00:00,LE,98.35802639641066,91.1303458120742,98.3812553171272
energy_balance,2021-08-10T00:00:00,LE,97.9407496567436,90.73565048653161,97.96820310567853
energy_balance,2021-08-17T00:00:00,LE,97.13044163768693,89.95970071137292,97.15616468044053
energy_balance,2021-08-24T00:00:00,LE,95.95331887964291,88.82892052554199,95.97279303605195
energy_balance,2021-08-31T00:00:00,LE,94.44708298326589,87.38181729204594,94.4583864745646
energy_balance,2021-09-07T00:00:00,LE,92.65995868598905,85.66767037589241,92.66451629509945
energy_balance,2021-09-14T00:00:00,LE,90.64946601997922,83.74485299441847,90.65227059510805
energy_balance,2021-09-21T00:00:00,LE,88.48091239806281,81.67884438738487,88.49017398848089
energy_balance,2021-09-28T00:00:00,LE,86.22559508646658,79.53999999999999,86.25185408200763
